Estação,N__Lab_,X,Y,Folha,Ag (ppm),Al (%),As (ppm),Ba (ppm),Be,Bi (ppm),Ca (%),Cd (ppm),Ce (ppm),Co (ppm),Cr (ppm),Cs (ppm),Cu (ppm),Fe (%),Ga (ppm),Hf (ppm),Hg (ppm),In (ppm),K (%),La (ppm),Li (ppm),LREE (ppm),Mg (%),Mn (ppm),Mo (ppm),Nb (ppm),Ni (ppm),P (ppm),Pb (ppm),Rb (ppm),Sb (ppm),Sc (ppm),Sn (ppm),Sr (ppm),Th (ppm),Ti (%),U (ppm),V (ppm),W (ppm),Y (ppm),Zn (ppm),Zr (ppm)
SQ-0003,CDE376,290059,7910027,Patos de Minas,0.06,1.11,6.0,65.0,0.5,0.18,0.07,0.03,50.7,5.8,13,0.56,23.3,3.01,4.1,0.2,0.01,0.02,0.16,21.2,1.0,71.9,0.03,140,0.58,0.25,10.0,259.0,15.6,8.8,0.27,3.1,0.6,6.6,9.2,0.01,1.54,18,0.9,2.47,27,10.0
SQ-0004,CDE377,297158,7919733,Patos de Minas,0.06,0.97,4.0,34.0,0.6,0.08,0.01,0.02,16.05,3.7,16,0.56,11.1,2.07,3.1,0.05,0.04,0.04,0.06,9.5,1.0,25.55,0.01,96,0.63,0.19,8.8,213.0,7.1,3.4,0.19,2.5,0.5,3.7,3.1,0.01,0.5,29,0.1,1.84,13,2.0
SQ-0005,CDE378,295015,7918509,Patos de Minas,0.04,1.14,4.0,43.0,0.5,0.12,0.02,0.04,22.33,5.3,20,0.71,15.5,2.63,3.9,0.07,0.02,0.02,0.07,10.2,1.0,32.53,0.01,159,0.68,0.36,11.0,206.0,8.1,4.7,0.22,3.0,0.6,4.5,4.2,0.01,0.67,31,0.3,1.84,18,3.8
SQ-0006,CDE379,294132,7908377,Patos de Minas,0.08,1.24,2.0,84.0,0.5,0.09,0.03,0.03,35.29,7.8,38,0.88,17.5,2.19,5.3,0.25,0.01,0.03,0.06,13.6,1.0,48.89,0.04,212,0.54,1.61,16.0,267.0,5.8,5.7,0.21,4.1,0.9,12.1,4.3,0.1,0.65,60,0.1,2.77,24,13.0
SQ-0007,CDE380,294791,7906236,Patos de Minas,0.11,7.59,9.0,78.0,1.2,0.33,0.04,0.03,100.38,3.5,88,3.52,40.3,5.34,23.2,0.21,0.03,0.09,0.09,20.2,2.0,120.58,0.02,108,1.29,1.51,17.1,806.0,18.3,10.5,0.65,15.4,2.9,6.7,10.6,0.03,1.98,138,0.2,4.62,23,13.5
SQ-0008,CDE381,291272,7903217,Patos de Minas,0.08,6.2,3.0,75.0,2.4,0.28,0.06,0.01,70.4,4.6,53,5.31,30.9,1.93,19.3,0.09,0.07,0.06,0.08,47.2,11.0,117.6,0.03,132,0.72,0.67,15.6,608.0,19.3,11.6,0.33,9.6,2.5,8.9,5.5,0.02,1.77,85,0.2,9.68,26,3.3
SQ-0009,CDE382,294483,7907432,Patos de Minas,0.09,5.79,8.0,212.0,2.1,0.26,0.13,0.09,95.75,17.9,97,2.74,51.1,6.49,20.4,0.29,0.06,0.11,0.08,28.4,3.0,124.15,0.06,460,1.27,2.81,47.9,1116.0,15.0,11.2,0.6,16.0,2.8,28.3,10.3,0.06,1.94,138,0.2,8.36,33,15.8
SQ-0010A,CDE383,292295,7909619,Patos de Minas,0.04,2.7,5.0,72.0,0.7,0.21,0.04,0.04,47.14,7.3,45,1.55,25.4,3.2,9.2,0.14,0.03,0.04,0.07,14.7,2.0,61.84,0.03,185,0.64,1.05,16.7,504.0,11.9,7.2,0.35,6.3,1.3,8.8,6.2,0.05,1.02,68,0.2,3.04,30,7.9
SQ-0011,CDE384,291913,7913360,Patos de Minas,0.06,5.78,6.0,73.0,1.2,0.37,0.02,0.04,84.76,6.4,58,3.69,37.5,3.81,18.0,0.19,0.04,0.06,0.09,25.0,6.0,109.76,0.02,144,0.85,0.7,15.8,426.0,18.8,13.0,0.47,11.2,2.1,4.0,11.3,0.02,1.77,90,0.2,4.57,34,12.2
SQ-0012,CDE385,290745,7913371,Patos de Minas,0.05,0.97,4.0,46.0,0.7,0.11,0.01,0.03,26.0,4.6,17,0.56,12.7,2.11,3.5,0.08,0.01,0.04,0.08,11.2,1.0,37.2,0.01,100,0.5,0.24,9.2,197.0,7.8,5.5,0.2,2.6,0.5,3.5,4.7,0.01,0.69,28,0.2,1.84,16,3.7
SQ-0013,CDE386,290308,7912034,Patos de Minas,0.06,1.92,4.0,54.0,0.7,0.17,0.02,0.04,41.35,3.7,24,1.14,16.5,2.11,6.2,0.08,0.02,0.02,0.1,16.1,1.0,57.45,0.01,85,0.61,0.39,9.5,222.0,10.1,7.3,0.27,3.9,0.9,4.1,6.3,0.01,0.93,36,0.2,2.48,18,5.0
SQ-0014,CDE387,292726,7908370,Patos de Minas,0.06,5.27,15.0,68.0,0.8,0.51,0.06,0.04,88.8,12.0,62,2.19,49.5,7.57,18.3,0.44,0.02,0.03,0.15,16.3,2.0,105.1,0.04,493,1.16,0.53,22.1,1144.0,27.2,11.9,0.59,11.3,1.9,5.9,14.3,0.02,2.0,88,0.4,2.62,41,24.8
